"id","ItemID","ServingName","ServingSize"
"1","1","Kleine Portion","250"
"2","1","Mittelgrosse Portion","350"
"3","1","Grosse Portion","450"
"4","2","Kleine Scheibe","60"
"5","2","Mittelgrosse Scheibe","85"
"6","2","Grosse Scheibe","125"
"7","3","Kleine Scheibe","60"
"8","3","Mittelgrosse Scheibe","85"
"9","3","Grosse Scheibe","125"
"10","4","Kleines Glas","200"
"11","4","Mittelgrosses Glas","300"
"12","4","Grosses Glas","500"
"13","5","Eine Handvoll","30"
"14","6","Kleiner Apfel","125"
"15","6","Mittelgrosser Apfel","175"
"16","6","Grosser Apfel","225"
"17","7","Kleines Stück","60"
"18","7","Mittelgrosses Stück","85"
"19","7","Grosses Stück","125"
"20","8","Kleine Portion","125"
"21","8","Mittelgrosse Portion","175"
"22","8","Grosse Portion","225"
"23","9","Kleine Portion","125"
"24","9","Mittelgrosse Portion","175"
"25","9","Grosse Portion","225"
"26","10","Kleines Glas","200"
"27","10","Mittelgrosses Glas","300"
"28","10","Grosses Glas","500"
"29","11","Kleine Aprikose","35"
"30","11","Mittelgrosse Aprikose","45"
"31","11","Grosse Aprikose","60"
"32","12","Kleines Stück","60"
"33","12","Mittelgrosses Stück","85"
"34","12","Grosses Stück","125"
"35","13","Kleine Avocado","125"
"36","13","Mittelgrosse Avocado","175"
"37","13","Grosse Avocado","225"
"38","14","Eine handvoll Scheiben","35"
"39","15","Eine handvoll Scheiben","35"
"40","16","Kleine Banane","100"
"41","16","Mittelgrosse Banane","140"
"42","16","Grosse Banane","170"
"43","17","Ein Stück","30"
"44","17","Drei Stück","90"
"45","18","Kleine Scheibe","40"
"46","18","Mittelgrosse Scheibe","60"
"47","18","Grosse Scheibe","80"
"48","19","Eine Handvoll","30"
"49","22","Ein Stück","70"
"50","24","Kleines Bierglas","300"
"51","24","Grosses Bierglas","500"
"52","25","Kleines Bierglas","300"
"53","25","Grosses Bierglas","500"
"54","26","Kleines Bierglas","300"
"55","26","Grosses Bierglas","500"
"56","27","Kleine Portion","200"
"57","27","Mittelgrosse Portion","300"
"58","27","Grosse Portion","400"
"59","28","Kleine Birne","125"
"60","28","Mittelgrosse Birne","175"
"61","28","Grosse Birne","225"
"62","29","Kleines Glas","200"
"63","29","Mittelgrosses Glas","300"
"64","29","Grosses Glas","500"
"65","30","Kleines Stück","90"
"66","30","Mittelgrosses Stück","135"
"67","30","Grosses Stück","180"
"68","31","Kleines Stück","250"
"69","31","Mittelgrosses Stück","400"
"70","31","Grosses Stück","500"
"71","35","Eine Handvoll","30"
"72","36","Eine Portion","300"
"73","37","Ein Stück","50"
"74","38","Ein Stück","50"
"75","39","Ein Stück","50"
"76","40","Mittelgrosses Glas","300"
"77","40","Grosses Glas","500"
"78","41","Ein Stück","50"
"79","42","Eine Scheibe","50"
"80","43","Eine Scheibe","50"
"81","44","Eine Tasse","200"
"82","46","Eine Tasse","200"
"83","49","1 Stück","10"
"84","49","2 Stück","20"
"85","49","3 Stück","30"
"86","50","Ein Stück","200"
"87","51","Eine Portion","50"
"88","52","Eine Portion","30"
"89","53","Ein Stück","100"
"90","54","Ein Stück","100"
"91","55","Ein Stück","100"
"92","56","Ein Stück","100"
"93","57","1 Stück","10"
"94","59","Mittelgrosse Portion","350"
"95","61","Ein kleines Glas","50"
"96","61","Ein mittelgrosses Glas","100"
"97","62","Mittelgrosses Glas","300"
"98","62","Grosses Glas","500"
"99","63","Ein Stück","100"
